country_name,year,DM_age_15.19_p,DM_age_20.24_p,DM_age_25.29_p,DM_age_30.34_p,DM_age_35.39_p,DM_age_40.44_p,DM_age_45.49_p,DM_age_marr_mean,DM_age_mean,DM_born_rural_p,DM_marr_p,DM_nvr_marr_p,DM_urban_p,drought_spei03_n1_share12,drought_spei03_n1_share36,drought_spei03_n1_share60,drought_spei03_n1.5_share12,drought_spei03_n1.5_share36,drought_spei03_n1.5_share60,drought_spei03_n2_share12,drought_spei03_n2_share36,drought_spei03_n2_share60,ED_attainment_no_educ_p,ED_attainment_primary_completed_p,ED_attainment_primary_p,ED_attainment_secondary_completed_p,ED_attainment_secondary_higher_p,ED_attainment_secondary_p,ED_educ_years_mean,ED_litt_p,EI_elec_p,EI_fridge_p,EI_radio_p,EI_tv_p,EI_women_elec_p,EI_women_fridge_p,EI_women_radio_p,EI_women_tv_p,ER_elec_rural_p,ER_elec_urban_p,FP_desired_mean,gdp_pc,HD_children_mean,HD_size_defacto_mean,HD_size_dejure_mean,HD_women_children_mean,HD_women_size_mean,hdi,HH_bicycle_p,HH_car_p,HH_floor_high_p,HH_floor_low_p,HH_motorcycle_p,HH_time_water_mean,HH_toilet_high_p,HH_toilet_low_p,HH_water_high_p,HH_water_low_p,HH_women_floor_high_p,HH_women_floor_low_p,HH_women_time_water_mean,HH_women_toilet_high_p,HH_women_toilet_low_p,HH_women_water_high_p,HH_women_water_low_p,pre_max12,pre_max36,pre_max60,pre_mean12,pre_mean36,pre_mean60,pre_min12,pre_min36,pre_min60,pre_sum12,pre_sum36,pre_sum60,RH_age_first_birth_mean,RH_children_born_mean,RH_children_living_mean,RH_contr_modern_know_p,tmp_max12,tmp_max36,tmp_max60,tmp_mean12,tmp_mean36,tmp_mean60,tmp_min12,tmp_min36,tmp_min60,WK_working_p,WL_wealth_gini,WL_wealth_mean,WL_wealth_median,RH_family_planning_mobile_p,RH_family_planning_radio_p,RH_family_planning_tv_p,WK_working_agri_p,RH_family_planning_news_p,WK_working12_p,DM_age_diff_mean,EI_telephone_p,EI_women_telephone_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_money_p,DP_decide_visits_p,EI_modern_cooking_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,EI_women_modern_cooking_p,HL_smoke_cig_p,HL_smoke_p,WK_working_paid_p,HL_number_cigarettes_mean,HL_smoke10_p,HL_smoke15_p,HL_smoke5_p,NT_women_anemia_any_p,ED_litt_whole_p,DP_earn_more_equal_p,DP_earn_more_p,HL_health_insur_p,HH_watch_p,DP_owns_house_p,DP_owns_land_p,DP_decide_contraception_p,EI_computer_p,DP_decide_no_contraception_p,EI_internet_day_p,EI_internet_week_p,EI_mobile_p
Nepal,2005,20.36,17.68,16.28,12.75,11.40,10.07,7.96,16.80,27.97,,77.14,,12.58,0.53,0.30,0.23,0.18,0.11,0.08,0.05,0.04,0.03,55.16,4.98,16.30,3.79,25.05,21.94,2.69,49.48,42.10,,57.71,21.35,42.93,,60.80,25.14,35.68,82.12,2.31,1585.48,0.82,4.99,5.05,0.96,6.42,0.48,30.51,,5.93,80.76,,15.74,24.55,68.30,15.70,15.42,5.63,78.78,15.18,24.56,64.93,14.38,13.52,329.31,496.24,496.29,105.80,115.63,118.19,3.03,2.81,1.97,1269.61,4162.52,7091.28,19.53,2.53,2.18,96.29,20.74,21.01,21.11,14.62,14.49,14.35,6.76,5.15,4.96,73.30,0.52,24.21,18.61,,65.80,32.70,85.53,12.98,81.70,4.11,4.28,4.78,17.77,13.90,29.07,,12.04,,,,11.07,16.64,21.20,11.82,5.97,19.55,7.84,47.98,,40.76,,,,,,,,,,,,
Niger,2005,19.63,18.24,18.77,14.46,12.40,9.37,7.12,15.72,28.44,78.52,83.27,12.43,26.12,0.27,0.25,0.30,0.09,0.07,0.09,0.00,0.00,0.01,80.05,2.13,11.83,0.51,8.12,7.47,1.27,24.59,14.03,4.89,52.33,9.97,15.33,5.96,58.00,12.03,1.27,40.94,8.47,822.94,1.44,6.12,6.26,1.97,8.41,0.29,11.75,3.22,1.63,81.32,6.92,35.37,1.97,89.33,10.80,53.92,,,36.21,2.27,88.69,11.82,53.73,135.24,167.52,175.33,36.88,34.38,32.79,0.00,0.00,0.00,442.59,1237.63,1967.20,18.35,3.85,2.90,72.11,34.18,34.50,34.69,29.28,29.12,29.01,24.17,21.93,21.05,42.19,0.51,13.57,10.98,,37.42,12.03,35.73,4.15,49.25,11.11,1.26,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,2005,21.62,19.27,18.54,12.67,10.97,8.82,8.12,17.93,28.19,,67.21,28.18,36.61,0.09,0.11,0.11,0.02,0.03,0.05,0.00,0.00,0.01,34.01,14.04,21.88,15.61,44.11,36.35,6.01,54.99,52.10,18.13,73.87,35.23,53.89,21.42,78.11,39.67,35.43,81.35,6.29,3767.15,0.90,4.67,4.73,1.26,6.56,0.46,28.61,9.78,23.23,33.10,19.25,29.24,7.05,79.23,14.08,46.57,23.60,31.55,30.33,18.83,65.49,8.17,47.05,266.87,301.06,309.83,119.85,117.44,117.25,6.86,4.11,2.94,1438.26,4227.79,7034.79,19.60,2.95,2.35,75.84,29.97,30.42,30.50,27.11,27.09,27.07,24.58,23.94,23.89,58.55,0.45,35.71,32.80,,40.70,24.17,23.76,12.02,60.99,10.48,4.53,5.05,14.72,8.18,64.87,,29.33,13.17,56.82,39.37,28.11,0.30,0.94,70.17,37.26,31.06,20.25,43.20,,49.12,,,,,,,,,,,,
Pakistan,2005,4.03,10.25,13.89,11.03,10.48,7.99,8.03,18.18,21.08,,63.00,,19.93,0.14,0.19,0.21,0.04,0.05,0.06,0.00,0.01,0.01,48.01,4.26,6.97,3.73,10.70,7.34,1.39,23.06,84.14,32.14,39.83,47.48,56.27,22.50,27.57,32.85,77.00,98.39,3.00,3969.16,1.24,7.47,7.56,1.07,6.12,0.50,31.42,,,,18.56,35.54,50.37,47.30,39.96,11.84,,,22.71,34.25,30.63,25.44,7.27,100.45,112.13,136.20,32.72,29.46,28.89,1.59,1.15,1.13,392.59,1060.64,1733.27,19.11,2.56,2.31,59.95,30.99,31.02,31.08,21.84,21.70,21.68,9.96,9.48,9.48,15.16,0.91,46.09,45.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,2005,19.01,15.58,14.97,14.25,13.49,12.38,10.32,19.87,30.25,35.96,59.95,30.95,61.20,0.17,0.22,0.19,0.06,0.08,0.07,0.01,0.02,0.01,4.36,9.46,30.04,19.35,65.60,40.22,8.81,91.04,73.21,25.88,84.01,63.84,78.11,30.47,88.75,72.54,48.46,94.61,2.39,6599.49,0.47,3.86,3.98,0.67,5.32,0.69,21.33,6.64,8.30,46.56,6.33,14.20,42.05,45.52,74.74,20.48,8.49,42.96,14.51,46.83,41.13,77.97,17.38,176.10,223.28,312.85,72.67,69.25,72.32,19.98,13.57,11.78,871.99,2492.99,4339.22,20.85,2.21,2.04,98.73,18.29,18.64,18.66,16.73,16.76,16.75,15.27,14.70,14.51,68.38,0.37,45.74,45.58,,45.97,39.99,33.52,28.70,74.80,4.08,17.61,20.62,50.93,19.74,64.69,74.75,48.82,23.04,67.68,56.24,53.19,5.08,4.34,60.39,3.42,2.10,0.99,5.31,26.79,86.28,32.60,13.86,37.22,,,,,,,,,
Philippines,2005,20.01,15.62,14.90,13.98,13.80,11.29,10.40,20.72,30.00,68.88,65.46,30.47,44.30,0.15,0.10,0.11,0.04,0.02,0.03,0.01,0.00,0.00,1.99,13.60,24.68,23.56,73.32,44.13,9.64,95.38,73.16,33.03,65.85,58.11,77.22,38.73,69.40,64.20,63.87,86.75,3.06,3914.06,0.71,4.67,4.85,0.85,5.94,0.60,19.84,8.01,8.43,11.69,15.96,12.34,75.49,17.79,39.91,14.05,10.10,10.64,12.14,78.17,15.89,43.04,12.44,452.31,553.74,565.49,216.55,211.27,215.65,68.75,35.00,28.52,2598.56,7605.74,12939.08,22.15,2.30,2.16,97.23,27.05,27.38,27.44,25.78,25.93,25.94,24.40,24.37,24.36,46.73,0.26,52.18,52.48,,53.79,62.44,15.20,32.26,53.75,3.20,21.64,27.05,65.60,22.30,51.39,,,31.80,72.33,76.33,,5.84,6.86,72.17,8.04,26.25,11.21,46.51,,90.95,,,,,,,,,,,,
Senegal,2005,24.48,19.61,15.98,13.24,10.99,8.75,6.94,17.52,27.82,12.07,71.47,23.51,40.71,0.46,0.35,0.37,0.15,0.17,0.17,0.04,0.08,0.07,63.02,3.17,24.16,0.77,12.82,12.08,2.34,31.52,37.58,15.80,85.61,33.08,42.91,20.98,89.64,43.30,16.18,69.34,5.61,2109.82,1.77,8.79,8.93,2.57,13.02,0.42,20.72,5.61,19.42,43.11,6.82,28.15,10.52,75.84,35.52,38.71,22.19,37.90,28.52,19.16,52.80,38.98,37.56,219.11,275.40,277.83,52.39,54.38,55.96,0.00,0.00,0.00,628.72,1957.57,3357.48,19.78,2.79,2.33,90.68,31.01,31.23,31.23,28.08,28.05,27.93,24.86,24.60,24.36,38.54,0.45,32.23,26.62,,45.32,29.97,33.54,4.92,45.94,11.93,13.14,19.74,14.14,7.08,88.48,55.81,31.30,7.58,79.17,56.55,31.82,0.27,0.58,65.79,59.97,16.72,0.00,31.42,58.34,23.31,,,,,,,,,,,,
South Africa,2005,17.79,16.91,15.78,15.20,13.83,11.09,9.39,22.57,30.02,41.61,40.90,51.05,70.71,0.17,0.11,0.16,0.04,0.01,0.04,0.02,0.01,0.00,4.04,6.89,18.84,20.70,77.12,67.50,9.43,98.96,79.96,63.85,75.20,69.11,80.89,67.06,75.36,73.31,65.98,89.31,2.59,,0.46,3.84,3.85,0.73,5.26,,14.56,28.67,61.17,10.85,2.34,19.07,68.68,27.98,75.33,7.16,61.51,9.63,19.25,61.82,33.02,75.81,7.51,100.16,127.42,128.08,44.25,47.66,45.01,11.01,2.91,2.66,531.00,1715.83,2700.85,20.89,1.75,1.64,98.19,23.63,23.64,24.06,17.85,17.51,17.52,10.71,9.75,9.75,36.36,0.33,63.40,63.74,,55.52,50.55,1.15,40.60,41.12,4.67,22.77,21.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,2005,21.85,18.74,17.41,14.21,11.12,8.97,7.70,18.16,28.44,,65.17,24.81,24.84,0.35,0.32,0.33,0.18,0.16,0.15,0.06,0.04,0.04,23.41,43.04,61.28,0.42,15.31,13.60,5.44,68.71,11.97,4.83,61.13,7.79,14.40,6.62,66.20,10.41,4.05,32.61,5.31,1749.43,0.97,4.74,4.91,1.28,6.57,0.44,40.71,1.41,0.44,69.67,2.32,34.76,4.27,89.52,12.55,44.82,0.54,66.94,35.98,5.10,88.21,14.02,44.32,232.28,282.85,296.29,82.80,82.19,81.72,2.73,1.92,1.88,993.58,2958.98,4903.33,19.16,2.93,2.50,96.14,25.65,25.96,26.01,23.68,23.75,23.70,21.21,21.01,21.00,74.69,0.43,16.70,12.99,13.90,56.78,16.60,70.92,21.50,78.42,7.62,8.26,11.05,36.00,9.46,54.99,,2.37,19.12,64.49,18.48,1.34,0.52,1.38,33.70,14.67,1.09,0.00,14.62,48.05,63.84,,,,,,,,,,,,
Togo,2005,19.46,16.91,17.81,15.26,13.14,9.19,8.22,18.76,29.08,,68.97,24.21,35.27,0.24,0.20,0.17,0.11,0.11,0.08,0.01,0.02,0.01,44.37,4.37,32.64,,22.99,21.59,3.25,75.17,26.45,4.59,56.59,21.03,29.13,6.80,62.76,26.15,8.11,54.95,4.67,1351.61,1.01,5.34,5.40,1.48,7.67,0.45,36.38,2.69,2.32,20.93,19.60,,6.81,30.13,45.93,26.32,2.59,19.23,,7.03,65.67,15.15,38.97,194.33,278.96,295.75,89.99,94.61,96.13,10.13,1.42,0.09,1079.92,3405.83,5767.76,20.03,2.94,2.50,93.68,30.49,30.49,30.66,27.36,27.22,27.21,25.01,24.87,24.81,74.17,0.29,35.61,33.55,,19.71,9.34,31.07,2.89,77.58,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,2005,1.91,8.46,12.48,12.81,12.25,11.22,9.39,19.57,23.35,,65.12,,46.38,0.24,0.19,0.17,0.12,0.09,0.08,0.02,0.01,0.01,11.73,34.22,37.92,9.58,18.86,11.07,3.82,78.36,,95.21,,95.22,,66.41,,67.14,,,1.74,12470.29,0.46,4.08,4.22,0.46,3.53,0.69,,16.59,47.10,4.33,5.21,33.54,73.06,10.56,87.38,3.16,33.40,2.55,25.11,56.35,7.49,66.03,2.17,92.27,122.24,129.62,47.20,48.20,47.52,9.17,6.42,4.49,566.40,1735.15,2851.16,19.24,1.83,1.70,68.14,23.07,23.70,23.96,10.99,11.13,11.10,-2.14,-3.65,-3.65,11.40,0.22,73.79,75.76,,,,,,,2.92,71.70,48.26,,,,,,,,,,33.36,,,,,,,,,,,,,,,,,,,,
Uganda,2005,22.50,20.02,16.83,14.22,11.13,8.56,6.75,17.35,28.07,,64.02,22.70,15.86,0.32,0.27,0.22,0.09,0.07,0.07,0.00,0.00,0.01,20.71,10.21,59.50,0.66,19.79,16.27,4.75,54.63,7.85,2.61,57.27,5.32,9.59,4.18,62.29,7.56,2.85,32.36,5.00,,1.13,4.90,4.98,1.42,6.51,,38.28,1.51,1.16,79.37,2.42,59.47,1.41,77.96,3.77,34.64,1.65,77.01,59.63,1.75,77.19,4.22,33.58,167.17,192.78,225.93,93.05,95.11,99.50,30.07,24.17,22.33,1116.61,3424.11,5970.29,18.44,3.55,2.96,95.62,25.22,25.65,25.65,23.41,23.45,23.46,22.19,22.07,22.01,80.85,0.46,13.64,11.41,7.24,57.47,4.77,75.44,9.26,86.15,6.27,0.85,1.22,25.48,14.51,52.45,,1.55,14.12,68.28,9.58,0.77,0.91,3.97,21.89,19.63,8.39,0.97,12.98,41.24,44.66,,,,,,,,,,,,
Zambia,2005,22.66,20.02,18.67,14.07,10.27,7.74,6.56,17.79,27.89,,61.14,25.51,35.76,0.08,0.26,0.23,0.04,0.14,0.11,0.00,0.06,0.05,11.74,19.03,57.06,4.25,31.20,27.44,6.00,61.10,16.27,10.42,49.60,20.69,19.77,13.96,54.71,25.63,5.92,34.09,4.82,2521.83,1.05,4.87,5.03,1.34,6.38,0.48,34.94,2.44,1.76,65.91,0.33,21.93,12.09,75.23,13.98,55.02,2.54,61.77,21.97,15.17,72.00,16.97,52.74,244.89,287.86,298.22,78.37,78.61,80.88,0.01,0.01,0.01,940.46,2829.78,4852.65,18.68,3.09,2.60,96.85,25.57,26.30,26.44,22.27,22.43,22.47,17.39,17.24,17.05,54.14,0.46,19.41,15.60,18.23,39.15,19.46,53.23,11.68,58.67,6.67,2.49,3.23,30.54,12.74,35.45,,12.91,15.59,49.39,24.51,15.55,0.82,2.71,50.12,20.35,7.71,2.76,40.73,,51.13,,,,,,,,,,,,
Zimbabwe,2005,24.41,21.32,16.11,13.70,9.40,8.22,6.84,18.69,27.66,,57.45,27.60,35.27,0.71,0.31,0.25,0.34,0.13,0.11,0.23,0.08,0.06,4.58,5.50,33.95,1.07,61.48,58.45,7.81,90.79,36.75,18.26,48.05,30.36,38.23,22.24,52.96,35.26,8.54,94.30,3.80,1668.53,0.76,4.41,4.46,1.04,5.77,0.41,25.80,6.35,3.37,32.64,1.15,54.04,34.18,35.45,35.13,21.42,4.20,32.13,54.23,36.05,35.35,36.70,21.70,161.16,192.23,287.99,43.37,52.05,54.53,0.04,0.04,0.04,520.46,1873.80,3271.72,19.67,2.19,2.03,97.54,25.78,25.84,25.84,22.35,21.75,21.52,16.72,15.16,15.04,34.33,0.47,34.65,29.38,20.77,25.15,18.56,28.52,14.71,40.48,6.98,8.65,10.68,20.53,23.15,33.92,,32.55,23.63,45.55,33.58,34.26,0.37,1.01,69.66,27.98,37.53,19.73,39.65,37.85,79.90,32.41,13.18,8.58,57.56,,,,,,,,
Armenia,2006,16.78,16.87,14.19,11.12,11.15,15.19,14.70,20.10,31.32,,64.33,29.66,45.95,0.00,0.05,0.10,0.00,0.01,0.02,0.00,0.00,0.00,0.10,0.07,0.42,38.98,99.47,75.60,9.33,100.00,99.88,80.74,19.04,84.26,99.94,82.70,20.42,88.62,99.77,99.98,2.58,5631.74,0.28,3.70,3.81,0.37,4.81,0.70,6.00,26.33,45.98,1.17,0.63,21.01,58.05,11.65,86.10,0.27,46.73,1.03,18.78,57.44,12.29,86.01,0.37,106.94,112.34,113.66,49.14,47.81,45.95,7.48,5.72,2.88,589.74,1721.03,2757.17,21.54,1.62,1.53,93.09,21.76,21.76,21.94,7.25,7.14,7.33,-7.70,-10.08,-10.11,27.80,0.28,72.43,73.47,,10.85,46.53,24.33,23.43,29.88,4.33,67.08,68.88,26.02,19.01,19.59,,93.44,48.60,24.24,96.39,93.53,0.58,0.77,73.87,25.86,52.29,17.49,74.30,21.25,,,,,,,,,,,,,
Bangladesh,2006,11.33,16.48,14.91,12.97,11.50,9.19,8.01,15.06,25.62,,78.31,,17.52,0.11,0.19,0.16,0.01,0.06,0.06,0.00,0.02,0.02,28.63,7.60,26.43,4.20,29.31,24.47,3.44,61.78,41.60,,26.83,25.85,36.70,,24.89,24.53,33.09,74.10,1.95,1950.23,0.67,4.74,4.79,0.64,4.89,0.51,26.36,,0.34,55.16,2.56,14.27,16.83,63.27,4.57,3.79,0.31,46.70,12.32,15.23,52.72,4.06,3.02,490.46,543.00,586.47,166.30,163.47,167.27,1.83,1.10,0.71,1995.59,5884.86,10036.24,17.51,2.39,2.08,84.29,29.69,29.82,30.15,26.33,26.30,26.20,19.52,19.18,18.58,23.42,0.37,26.82,21.16,,14.62,25.50,13.09,3.45,,7.92,2.51,2.41,13.00,7.39,31.61,,6.38,5.71,20.54,36.73,5.59,,,70.11,,,,,,,,,,,,,,,,,,
Benin,2006,17.20,17.57,20.43,15.71,12.11,9.03,7.96,18.16,28.91,54.57,76.01,19.16,39.48,0.29,0.13,0.13,0.07,0.02,0.03,0.00,0.00,0.01,65.93,2.31,19.07,0.77,15.00,14.17,2.13,26.08,25.42,4.65,72.13,20.04,28.54,6.16,77.03,24.57,9.34,47.46,5.09,1726.82,1.16,5.17,5.28,1.55,7.01,0.44,42.94,3.91,2.25,45.44,34.88,22.35,2.75,80.39,28.33,35.95,2.41,42.73,22.69,3.17,79.15,29.27,35.45,223.28,241.82,277.02,82.37,87.43,88.61,2.35,0.00,0.00,988.45,3147.41,5316.44,19.54,3.25,2.73,88.71,30.56,31.09,31.09,28.13,27.97,27.95,25.72,25.48,25.43,79.19,0.39,25.98,23.13,4.53,48.57,20.71,40.18,6.93,80.98,8.58,2.27,3.20,21.15,13.03,85.19,54.23,4.62,3.46,55.49,23.03,3.91,0.06,3.29,49.94,59.76,33.33,33.33,38.64,60.71,19.56,,,,,,,,,,,,
Bolivia,2006,21.46,16.90,15.57,13.84,12.51,10.58,9.14,19.92,29.30,32.52,60.28,31.76,63.90,0.17,0.09,0.08,0.03,0.02,0.02,0.00,0.00,0.00,5.94,6.78,43.95,15.85,50.11,33.91,8.25,91.13,74.41,30.97,82.92,63.21,79.22,36.16,86.89,71.78,45.53,95.65,2.43,5331.01,0.62,4.01,4.10,0.83,5.27,0.63,41.77,14.00,22.85,13.74,8.43,15.60,,,75.92,16.86,24.87,27.76,15.47,,,78.80,14.32,190.11,213.26,223.04,70.57,72.49,72.49,2.61,2.60,2.13,846.79,2609.57,4349.19,20.64,2.50,2.22,93.60,19.81,20.27,20.48,17.14,17.40,17.44,13.36,13.16,12.90,58.95,0.37,54.03,54.73,,43.58,38.67,25.46,22.90,67.31,3.25,18.00,21.45,42.88,11.70,47.94,,63.99,34.75,83.72,72.48,69.34,,,73.65,,,,,34.48,88.97,,,,,,,,,,,,
Burkina Faso,2006,20.56,18.35,16.82,13.89,12.22,9.93,8.24,17.41,28.88,,79.61,16.94,18.33,0.20,0.30,0.25,0.09,0.11,0.08,0.04,0.02,0.02,80.67,3.79,11.10,0.57,8.22,7.79,1.28,15.94,9.71,3.42,65.37,11.29,10.51,4.41,70.40,13.23,1.13,42.55,5.70,1273.17,1.27,6.16,6.27,1.81,8.66,0.34,81.90,1.94,1.40,60.51,27.87,23.71,1.49,77.34,5.59,33.38,,,23.88,1.75,76.79,6.20,33.45,254.27,265.95,279.57,75.78,68.30,68.33,0.00,0.00,0.00,909.32,2458.82,4099.84,19.29,3.42,2.76,92.25,33.31,33.48,33.51,28.87,28.73,28.67,25.74,24.07,24.00,83.79,0.34,21.58,18.85,,51.06,15.95,68.87,5.09,86.18,11.49,2.42,3.29,8.34,7.17,87.87,,3.69,4.17,46.82,15.86,2.18,0.07,5.46,27.38,82.50,,,,51.66,11.78,,,,,,,,,,,,
Cambodia,2006,21.27,17.54,13.42,12.27,12.93,12.35,10.22,19.43,29.72,,62.08,30.20,16.84,0.36,0.31,0.23,0.15,0.18,0.12,0.05,0.08,0.05,22.09,7.40,54.53,1.79,23.39,22.40,3.99,66.25,19.48,2.55,45.11,49.55,21.66,3.14,47.27,54.23,14.05,60.32,3.38,2096.78,0.70,4.72,5.01,0.75,5.81,0.50,64.41,3.86,7.00,7.41,36.24,,23.76,74.01,,,8.09,6.70,,26.35,71.37,,,354.46,432.83,463.61,143.79,144.01,149.49,6.94,2.42,2.40,1725.54,5184.36,8969.34,21.49,2.39,2.07,97.79,29.84,29.99,30.50,27.86,27.68,27.68,25.62,25.11,25.04,63.55,0.27,38.07,35.20,,55.42,60.54,64.74,15.08,80.51,2.97,5.69,6.93,50.21,14.65,63.44,,6.37,11.55,45.01,57.75,6.89,5.53,13.04,42.63,11.87,27.36,12.65,46.38,48.67,50.55,56.79,19.38,,,,,,,,,,
Cameroon,2006,25.06,21.17,16.51,12.54,10.07,7.92,6.73,18.06,27.46,,63.86,27.01,57.30,0.11,0.08,0.11,0.06,0.03,0.03,0.01,0.00,0.00,12.45,19.22,40.66,2.08,46.89,43.35,6.59,74.42,54.51,13.86,63.44,33.09,58.62,18.89,68.25,41.08,21.48,78.21,5.32,2571.08,0.86,4.70,4.70,1.35,7.33,0.47,11.38,5.89,12.52,42.26,9.13,21.40,9.65,53.70,11.35,29.64,12.11,38.78,22.10,11.87,50.22,13.67,27.70,328.59,353.99,398.62,157.51,159.22,159.29,12.60,7.21,5.24,1890.12,5731.91,9557.30,19.20,2.59,2.23,94.52,26.37,26.54,26.54,24.53,24.51,24.43,23.20,22.79,22.76,60.02,0.45,29.46,25.59,,27.29,24.31,45.02,14.22,63.96,8.76,2.26,3.05,19.78,15.79,64.55,67.69,25.62,13.37,45.55,44.78,21.32,0.53,1.79,51.83,29.18,10.87,7.29,30.99,44.78,64.30,,,,,,,,,,,,
Colombia,2006,18.20,16.72,15.14,13.40,13.20,12.27,11.07,20.16,30.35,,52.27,32.02,80.68,0.06,0.05,0.07,0.02,0.02,0.02,0.00,0.00,0.00,2.36,13.69,25.85,23.56,71.79,51.77,8.72,100.00,97.20,69.50,71.29,86.16,97.63,73.44,72.33,89.55,90.90,99.34,2.20,10152.07,0.46,3.99,3.99,0.61,4.98,0.68,35.84,10.50,47.33,6.30,12.77,16.47,0.00,7.74,88.81,10.91,48.46,5.64,16.74,0.00,6.98,89.56,10.17,343.09,375.06,375.09,204.62,204.22,200.63,91.51,52.10,50.75,2455.38,7351.83,12037.73,21.14,1.76,1.70,99.80,23.95,24.05,24.05,22.87,22.85,22.76,21.97,21.84,21.65,52.80,0.38,64.43,68.30,,53.82,73.37,5.01,46.05,65.62,4.53,51.50,54.09,74.51,22.51,82.74,72.99,86.48,,,,87.98,,,89.88,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,2006,20.89,19.39,18.41,14.87,10.98,8.50,6.97,18.21,28.32,,67.58,25.93,35.41,0.12,0.16,0.17,0.04,0.05,0.05,0.00,0.00,0.00,62.66,6.81,22.44,1.46,14.90,13.76,2.47,53.37,41.79,8.22,52.41,28.64,46.57,12.00,57.87,35.05,23.72,79.65,5.53,2772.45,1.14,5.58,5.63,1.81,8.74,0.43,42.76,2.51,6.28,28.46,21.98,21.35,11.91,63.05,20.84,35.67,8.50,24.67,22.49,15.40,58.93,24.28,34.68,229.54,270.12,276.77,107.71,111.51,109.90,7.88,5.99,4.85,1292.54,4014.28,6593.82,18.96,3.06,2.58,84.67,29.34,29.84,30.02,26.78,26.81,26.78,24.91,24.79,24.47,70.62,0.39,30.99,26.78,,11.86,15.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,2006,2.50,9.77,12.98,11.30,10.97,9.89,8.97,19.87,22.09,,62.14,,35.59,0.11,0.17,0.15,0.02,0.02,0.01,0.00,0.00,0.00,21.73,3.27,9.31,20.39,35.35,27.49,4.61,42.10,98.63,88.03,81.11,93.29,66.29,59.59,54.98,63.29,97.12,99.22,1.96,8931.62,0.69,4.91,4.91,0.66,4.21,0.64,10.32,9.08,71.62,8.37,1.97,22.91,98.48,1.35,88.46,1.10,46.01,6.11,15.27,66.59,0.90,58.18,0.91,12.42,15.12,18.06,3.41,3.36,3.53,0.21,0.18,0.16,40.89,120.93,211.68,19.97,1.98,1.84,66.29,29.26,29.76,29.78,22.16,22.18,22.15,13.47,13.12,12.33,13.23,0.25,76.47,78.36,,28.99,49.27,12.94,10.67,13.50,4.50,56.31,37.26,18.20,4.01,20.86,,,11.98,40.74,62.31,,,,69.70,,,,,,37.35,,,,,,,,,,,,
Ethiopia,2006,22.58,18.65,18.75,12.67,11.86,8.39,7.10,16.58,27.85,,62.81,25.69,33.52,0.21,0.15,0.14,0.05,0.03,0.04,0.00,0.00,0.00,59.68,3.43,22.29,4.09,18.03,15.00,2.71,34.71,31.40,6.01,42.55,14.76,33.51,8.73,47.31,18.56,7.28,81.00,5.23,813.41,0.81,4.61,4.72,0.95,5.73,0.36,2.40,1.23,14.32,76.97,0.15,52.67,2.71,76.48,34.55,34.60,15.83,74.88,52.48,3.14,74.50,35.77,33.96,178.54,216.04,255.49,68.81,71.07,72.55,2.31,1.38,0.99,825.78,2558.41,4353.25,19.00,2.81,2.33,79.67,25.20,25.42,25.53,22.78,22.72,22.61,20.63,20.31,19.68,29.50,0.49,20.06,16.77,,33.68,22.27,31.11,12.59,37.64,8.16,9.17,12.35,21.66,18.85,37.51,,12.57,3.73,19.92,17.13,12.70,1.14,4.11,54.37,41.32,6.35,4.11,20.49,28.18,27.39,,,,,,,,,,,,
Gabon,2006,24.41,19.52,15.28,13.48,11.36,8.87,7.07,19.11,28.04,,55.76,32.51,70.12,0.12,0.10,0.09,0.04,0.04,0.05,0.00,0.01,0.01,4.74,7.47,37.39,1.88,57.87,54.24,6.87,92.89,69.44,29.76,58.10,54.50,76.90,37.13,62.48,65.12,36.02,88.98,5.02,17601.47,0.81,4.67,4.66,1.54,8.02,0.65,2.70,9.85,17.07,29.35,0.92,27.80,19.10,62.17,40.23,23.57,19.68,24.43,29.87,21.91,58.79,44.05,20.86,363.72,377.35,394.71,156.55,158.59,161.18,11.97,5.39,5.29,1878.62,5709.08,9670.95,18.43,2.70,2.45,96.29,26.72,27.40,27.40,25.43,25.64,25.54,23.60,23.53,23.51,40.33,0.45,39.63,36.90,,28.08,31.23,27.69,21.86,45.08,7.46,4.58,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
